FIPS,Admin2,Province_State,Country_Region,Lat,Long,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20,05/07/20,05/08/20,05/09/20,05/10/20,05/11/20,05/12/20
01025,Clarke,Alabama,USA,31.6766595801679,-87.8308098506618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,7,9,9,10,10,13,13,15,19,19,21,22,24,24,24,24,24,24,25,25,24,25,25,27,28,31,32,34,38,42,43,43,45,50,53,52,56,63,64
01027,Clay,Alabama,USA,33.2690858672504,-85.8605470840657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,3,7,8,9,9,9,9,11,11,11,12,14,14,14,14,14,14,17,18,19,19,19,19,19,19,19,19,19,21,21,21,21,22,22,24,25,25,26,26,26,27,27
01029,Cleburne,Alabama,USA,33.6745577166755,-85.5187680027787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,5,5,5,6,6,7,7,7,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13
01031,Coffee,Alabama,USA,31.4026271796274,-85.9882069261765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,7,7,8,8,12,14,14,20,32,36,36,43,50,51,56,59,64,68,73,80,87,88,95,98,105,107,111,117,118,130,134,134,138,141,143,146,146,150,155
01033,Colbert,Alabama,USA,34.7004337983631,-87.8049852867279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,4,4,5,5,5,6,7,7,7,8,8,8,9,10,11,11,13,13,15,16,16,16,20,22,23,23,23,23,27,29,29,33,37,40,41,42,44,51,63,64,66,70,72
01035,Conecuh,Alabama,USA,31.4292715445425,-86.9936742092201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,4,3,3,3,5,5,5,6,8,8,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,13,13,14,14
01037,Coosa,Alabama,USA,32.93622683042,-86.2476592648461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,4,4,4,6,6,6,7,8,9,9,10,10,11,18,18,18,20,20,20,22,22,23,24,24,28,29,29,29,30,31,31,31,29,30,30,30,31,31,31,31,31,31,33,33
01039,Covington,Alabama,USA,31.2484923987541,-86.451242543946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,3,3,4,4,4,5,5,10,10,10,11,13,13,16,18,19,19,21,22,24,26,27,29,31,32,33,34,35,36,36,38,43,45,45,46,46,48,50,50,53,55,56
01041,Crenshaw,Alabama,USA,31.7315001844092,-86.3135388958891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,5,5,6,6,6,6,6,8,10,10,11,12,16,17,19,19,21,23,25,26,28,31,33,38,41,43,46
01043,Cullman,Alabama,USA,34.131941070549,-86.8676194614466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,6,6,7,7,7,8,8,9,9,15,15,15,20,22,22,29,30,31,39,39,40,40,42,53,42,42,44,45,44,44,47,49,50,52,52,55,55,57,57,58,58,58,59,61,62,63,65,65,67
01045,Dale,Alabama,USA,31.4318270698726,-85.6110368182537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,4,4,4,6,6,6,8,12,12,13,14,14,17,20,21,21,22,22,23,25,25,25,25,25,27,27,28,34,34,34,34,36,40,43,43,45,52
01047,Dallas,Alabama,USA,32.3259737089839,-87.1064763257597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,4,7,7,7,7,7,7,10,11,10,14,14,17,22,21,21,22,25,26,29,30,29,32,32,33,37,37,37,41,42,49,59,65,68,76,83,95,102,108,122,124
01049,DeKalb,Alabama,USA,34.459772955674,-85.8041426435855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,6,8,10,13,14,14,14,14,16,18,21,26,28,29,31,32,34,40,42,46,51,58,61,61,63,70,74,76,77,77,76,77,79,90,99,109,124,136,142,147,158,167
01051,Elmore,Alabama,USA,32.5966480504114,-86.1491465307179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,5,6,6,6,6,8,10,10,12,12,12,12,12,15,17,19,19,19,20,22,24,29,30,30,33,37,43,49,54,54,58,63,68,73,74,74,74,77,79,79,82,84,86,88,93,103,111,121,121,127,130,135,150,152,156
01053,Escambia,Alabama,USA,31.1261225460579,-87.1616198681774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,3,3,3,5,5,6,8,8,10,10,11,12,14,12,15,16,17,18,21,22,22,25,26,27,27,28,29,30,31,32,31,30,33,35,36,36,37,38
01055,Etowah,Alabama,USA,34.0452543999777,-86.0347623240239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,6,6,8,10,13,21,27,36,42,43,47,53,64,74,77,78,78,84,87,88,93,98,100,110,116,120,121,123,125,126,130,138,139,139,141,143,146,152,158,161,166,170,182,193,196
01057,Fayette,Alabama,USA,33.7212061504741,-87.7388619701249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,9
01059,Franklin,Alabama,USA,34.4416706415045,-87.8438119781777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,3,3,3,3,3,3,4,5,6,6,7,7,7,8,8,8,10,10,12,17,17,18,17,17,18,18,22,25,32,38,41,43,44,45,58,78,100,132,136,152,164,184,202,216,226,247,264
01061,Geneva,Alabama,USA,31.095016693043,-85.8389848955425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,2,2,2,4,4,4,4,5,6,6,7,8,8,8,9,9,9,10,10,11,11,11,11,12,13,13,15,16
01063,Greene,Alabama,USA,32.8531388427425,-87.9522309156085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,4,4,5,5,6,8,10,12,13,13,14,17,18,18,19,22,24,29,29,32,32,40,41,44,44,46,46,47,50,55,54,55,58,61,61,64,67,70,70,70,73,73
01065,Hale,Alabama,USA,32.7626642245884,-87.6291176815762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,5,7,7,7,7,11,15,15,17,20,22,22,23,26,31,34,36,37,39,40,41,41,41,43,47,50,52,52,56,59,60,62,62,66,69,72,74
01067,Henry,Alabama,USA,31.5146944202189,-85.2414063367077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,4,5,8,10,10,11,13,14,15,15,16,17,17,18,20,20,22,22,22,22,22,22,23,24,24,26,27,27,27,27,27,27,28,28,30,32
01069,Houston,Alabama,USA,31.1531879718211,-85.3025273834883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,4,8,8,8,9,9,12,14,20,24,25,27,33,33,37,44,47,52,55,58,64,63,66,70,73,75,78,76,76,77,79,84,87,90,90,93,95,97,98,99,100,102,104,107,107,114
01071,Jackson,Alabama,USA,34.7794159963813,-85.9993005442897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,4,5,5,5,7,8,8,9,12,13,14,17,18,20,22,22,22,25,26,29,31,32,32,38,38,39,41,42,43,45,45,45,45,46,47,49,49,50,50,50,53,53,56,59,59,60,60,60
01073,Jefferson,Alabama,USA,33.5543385118485,-86.8963982424211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,12,17,21,25,34,50,61,71,86,91,140,173,179,214,246,257,282,305,332,369,376,418,438,461,492,523,555,579,597,617,620,628,634,651,673,682,688,700,744,778,797,828,839,839,861,881,886,929,946,969,992,1020,1048,1065,1094,1109,1121,1131,1153
01075,Lamar,Alabama,USA,33.7792058020581,-88.0968988584814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,6,7,7,7,8,7,7,7,7,7,8,8,9,9,8,9,10,10,10,10,10,10,11,11,11,11,12,13,13,13,13,13,13,13,13
01077,Lauderdale,Alabama,USA,34.901372383982,-87.6539980067006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,7,9,11,12,12,12,12,12,14,14,16,16,16,18,19,20,20,21,21,22,22,22,22,23,23,23,24,25,25,25,25,27,31,31,30,33,38,50,56,61,63,68,71,79,87,88,92,96,99
01079,Lawrence,Alabama,USA,34.5216520166477,-87.3110445129678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,3,3,3,3,3,4,4,6,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,12,12,12,12,12,12,12,12,12,13,13,14,14,16,17,19,21,22,25,26,26
01081,Lee,Alabama,USA,32.6011364840717,-85.3555627039694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,8,10,11,12,16,19,26,44,47,53,56,57,73,75,83,91,99,104,110,118,133,190,206,215,221,236,250,265,285,294,301,306,308,311,319,331,340,351,358,365,368,377,386,394,391,397,400,403,408,410,417,419,422,425,429,432
01083,Limestone,Alabama,USA,34.8100783218555,-86.9813747654261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,10,13,16,16,16,20,22,23,25,30,30,32,32,32,32,35,36,36,37,37,37,38,38,40,40,40,40,40,38,40,41,41,41,42,44,44,44,44,44,45,47,48,49,54,55,57,57,57,58
01085,Lowndes,Alabama,USA,32.1547500095125,-86.6501076966706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,3,6,6,8,11,12,12,14,14,16,19,23,25,25,27,30,31,32,32,34,36,38,38,39,53,59,65,67,70,71,75,80,82,85,88,96,99,103,111
01087,Macon,Alabama,USA,32.3859736952465,-85.6926686621679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,4,5,5,5,5,6,6,9,9,12,14,17,19,19,24,24,24,25,26,27,27,27,29,31,34,34,35,36,37,37,38,40,40,41,42,43,44,47,47,49,51
01089,Madison,Alabama,USA,34.7630897030936,-86.5502065185148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,6,9,16,21,21,36,43,61,62,79,96,100,107,116,123,126,137,141,150,165,177,177,186,187,188,191,194,198,217,197,199,202,203,205,205,202,210,211,214,222,224,227,225,233,234,237,238,238,241,244,247,247,250,255
01091,Marengo,Alabama,USA,32.247613412233,-87.7895192944196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,4,4,4,5,5,8,8,13,13,14,14,14,15,19,21,24,23,24,24,24,25,27,30,35,40,38,39,40,41,43,44,46,49,52,56,58,66,68,68,73,76,77,80,83,89
01093,Marion,Alabama,USA,34.136549695655,-87.8871383639293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,5,7,7,9,9,9,9,11,11,16,17,19,19,21,23,33,39,42,52,57,58,58,60,62,60,61,63,65,65,67,69,73,74,75,76,75,75,78,82,83,85,90,92,93,95,96,96,96,97
01095,Marshall,Alabama,USA,34.366962102055,-86.3066369689725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,5,6,6,6,7,17,17,26,34,40,45,64,72,84,99,103,104,109,117,123,139,150,167,195,241,258,267,279,307,310,313,316,317,328,334,342,355,439,470,487,525,543,558,576,581
01097,Mobile,Alabama,USA,30.6851516211167,-88.1975233535396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,6,10,19,23,34,41,45,53,57,69,103,114,127,148,202,249,329,382,429,454,491,509,561,594,627,638,663,680,721,759,810,845,888,917,942,994,1041,1058,1099,1172,1198,1222,1265,1311,1355,1407,1452,1461,1474,1507
01099,Monroe,Alabama,USA,31.5708340245628,-87.3654375115275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,9,9,9,9,9,11,11,12,11,12,12,13,13,13,13,13,13,15,15,15,15,15,15,15
01101,Montgomery,Alabama,USA,32.2202579875962,-86.207614292299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,3,4,9,16,17,18,18,22,29,31,35,46,60,63,71,71,74,81,90,92,106,120,149,161,189,201,207,217,226,231,245,253,263,274,284,289,292,302,318,337,355,379,409,438,456,477,515,533,576,608,642,684
01103,Morgan,Alabama,USA,34.4534720280215,-86.8529215683745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,9,13,15,17,19,19,19,22,24,24,27,30,31,34,36,36,37,39,41,41,44,44,47,45,47,48,51,50,50,55,57,64,65,68,68,68,71,73,74,76,78,81,84,87,92,93,95,98
01105,Perry,Alabama,USA,32.6384656557572,-87.2944007853801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,6,6,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,15,16,16,16,18,18,19,19,19,19
01107,Pickens,Alabama,USA,33.2808768858867,-88.0886925941551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,4,4,9,11,12,12,13,14,15,19,19,21,22,23,24,30,30,32,33,38,40,42,44,44,45,46,48,47,47,48,48,50,54,55,56,57,58,59,63,65,67,70,70
01109,Pike,Alabama,USA,31.8027084904149,-85.9409081483071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,4,4,4,7,7,10,10,14,14,14,16,18,18,18,20,21,22,27,28,29,34,37,41,46,53,57,58,58,62,65,65,67,67,69,73,75,79,82,84,85,87,89,93,99,100
01111,Randolph,Alabama,USA,33.2937873448303,-85.4590701568095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,5,6,10,11,11,12,13,15,20,22,27,36,40,45,45,47,51,51,53,56,59,60,58,60,60,60,61,62,62,62,62,74,77,79,82,91,96,100,102,104,111,117
01113,Russell,Alabama,USA,32.2883800156307,-85.1849624463713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,4,6,10,10,12,14,18,20,22,24,28,30,31,35,35,42,43,48,48,52,54,53,53,53,53,55,55,57,60,60,61,63,63,66,69,73,77,79,81,83
01117,Shelby,Alabama,USA,33.2642770247873,-86.6606484037164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,4,9,10,16,17,22,27,45,53,70,72,79,86,86,89,101,115,127,145,150,159,165,183,185,196,213,230,235,241,242,248,257,269,273,274,278,283,294,298,311,318,319,320,320,320,324,327,328,335,339,348,358,362,367,370,378
01115,St. Clair,Alabama,USA,33.715730322181,-86.3145956811547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,3,4,6,6,9,11,13,14,15,17,19,23,25,28,30,30,35,37,37,39,42,43,45,49,49,52,53,54,57,59,62,62,63,63,64,68,70,70,72,73,73,76,76,76,77,78,79,81,82,84,86
01119,Sumter,Alabama,USA,32.5910175307833,-88.1987896089409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,6,6,7,10,15,17,17,18,19,20,23,26,30,31,33,35,36,40,44,46,47,51,51,53,55,55,56,64,68,72,77,81,85,87,92,93,98,100,106,110
01121,Talladega,Alabama,USA,33.3800616096589,-86.16590368719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,3,4,4,4,4,6,7,8,8,12,16,20,20,21,26,30,32,32,34,38,38,40,40,42,44,46,47,50,52,53,54,55,57,58,59,59,61,61,64,65,64,67,67,70,72,73,73,73,74
01123,Tallapoosa,Alabama,USA,32.862404942606,-85.7975022448203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,5,8,12,13,14,17,20,20,30,31,33,43,48,53,62,99,107,123,149,160,160,180,195,193,228,242,254,261,267,274,275,279,282,285,286,290,295,298,303,304,314,315,316,323,328,330
01125,Tuscaloosa,Alabama,USA,33.289549846355,-87.5250299520189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,3,3,4,4,6,7,9,10,17,20,22,23,23,28,29,30,37,41,44,60,74,79,85,86,91,100,119,120,122,131,132,153,141,145,153,157,165,173,182,185,192,195,199,203,208,210,216,218,237,243,248,259,269,274,278,284,291
01127,Walker,Alabama,USA,33.8033347428879,-87.2973573970794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,5,17,18,24,28,30,31,32,32,34,48,49,49,54,64,68,72,72,78,83,84,84,85,84,83,83,85,90,91,90,89,89,91,92,93,94,95,96,97,97,99,100,100,101,103,105,106,106,107,110
